id,name_ch,name_jp,name_en,description
,,,,
1,光粉,ひかりのこな,Bright Powder,闪闪发光的粉末。携带后，光芒会迷惑对手，从而使其招式变得不容易命中。
2,学习装置,がくしゅうそうち,Exp. Share,携带的宝可梦就算没有参与对战也能分享到经验值的便利装置。
3,先制之爪,せんせいのツメ,Quick Claw,又轻又尖锐的爪子。携带后，有时能比对手先一步行动。
4,王者之证,おうじゃのしるし,King's Rock,携带后进行攻击，在造成伤害时，有时会让对手畏缩。
5,银粉,ぎんのこな,Silver Powder,散发着银色光辉的粉末。携带后，虫属性的招式威力就会提高。
6,护符金币,おまもりこばん,Amulet Coin,只要携带它的宝可梦在战斗时出场一次，就能获得２倍金钱。
7,洁净之符,きよめのおふだ,Cleanse Tag,让排在最前面的宝可梦携带后，野生宝可梦就会不容易出现。
8,烟雾球,けむりだま,Smoke Ball,携带它的宝可梦在和野生宝可梦的战斗中绝对可以逃走。
9,不变之石,かわらずのいし,Everstone,携带后，宝可梦在此期间不会进化的神奇石头。
10,气势头带,きあいのハチマキ,Focus Band,携带后，即便受到可能会导致濒死的招式，有时也能仅以１ＨＰ撑过去。
11,幸运蛋,しあわせタマゴ,Lucky Egg,满载着幸福的蛋。携带它的宝可梦获得的经验值会少量增加。
12,焦点镜,ピントレンズ,Scope Lens,能看见弱点的镜片。携带它的宝可梦的招式会变得容易击中要害。
13,金属膜,メタルコート,Metal Coat,特殊的金属膜。携带后，钢属性的招式威力就会提高。
14,吃剩的东西,たべのこし,Leftovers,携带后，宝可梦的ＨＰ会在战斗期间缓缓回复。
15,龙之鳞片,りゅうのウロコ,Dragon Scale,又硬又坚固的鳞片。龙属性宝可梦有时会携带它。
16,电气球,でんきだま,Light Ball,让皮卡丘携带后，攻击和特攻的威力就会提高的神奇之球。
17,柔软沙子,やわらかいすな,Soft Sand,手感细腻的沙子。携带后，地面属性的招式威力就会提高。
18,硬石头,かたいいし,Hard Stone,绝对不会裂开的石头。携带后，岩石属性的招式威力就会提高。
19,奇迹种子,きせきのタネ,Miracle Seed,孕育生命的种子。携带后，草属性的招式威力就会提高。
20,黑色眼镜,くろいメガネ,Black Glasses,看上去很奇怪的眼镜。携带后，恶属性的招式威力就会提高。
21,黑带,くろおび,Black Belt,能振作精神的带子。携带后，格斗属性的招式威力就会提高。
22,磁铁,じしゃく,Magnet,强力的磁铁。携带后，电属性的招式威力就会提高。
23,神秘水滴,しんぴのしずく,Mystic Water,水滴形状的宝石。携带后，水属性的招式威力就会提高。
24,锐利鸟嘴,するどいくちばし,Sharp Beak,又长又尖的鸟嘴。携带后，飞行属性的招式威力就会提高。
25,毒针,どくバリ,Poison Barb,有毒的小针。携带后，毒属性的招式威力就会提高。
26,不融冰,とけないこおり,Never-Melt Ice,能隔绝热量的冰。携带后，冰属性的招式威力就会提高。
27,诅咒之符,のろいのおふだ,Spell Tag,古怪可怕的咒符。携带后，幽灵属性的招式威力就会提高。
28,弯曲的汤匙,まがったスプーン,Twisted Spoon,注入了念力的汤匙。携带后，超能力属性的招式威力就会提高。
29,木炭,もくたん,Charcoal,焚烧用的燃料。携带后，火属性的招式威力就会提高。
30,龙之牙,りゅうのキバ,Dragon Fang,坚硬锐利的牙齿。携带后，龙属性的招式威力就会提高。
31,粉红色丝带,ピンクのリボン,Pink Bow,携带后，一般屬性的招式威力就会提高。
32,水玉色之带,みずたまりボン,Polkadot Bow,携带后，一般屬性的招式威力就会提高。
33,破坏基因,はかいのいでんし,Berserk Gene,攻击的威力就会提高，但会造成混乱。
34,升级数据,アップグレード,Up-Grade,内部储存了各种信息的透明机器。西尔佛公司制造。
35,吉利拳,ラッキーパンチ,Lucky Punch,能带来幸运的拳套。让吉利蛋携带后，招式会变得容易击中要害。
36,金属粉,メタルパウダー,Metal Powder,让百变怪携带后，防御就会提高的神奇粉末。非常细腻坚硬。
37,粗骨头,ふといホネ,Thick Club,某种坚硬的骨头。让卡拉卡拉或嘎啦嘎啦携带后，攻击就会提高。
38,大葱,ながねぎ,Stick,非常长且坚硬的茎。让大葱鸭携带后，招式会变得容易击中要害。
39,白色香草,しろいハーブ,White Herb,当携带它的宝可梦能力降低时，仅能回到之前的状态１次。
40,心灵香草,メンタルハーブ,Mental Herb,当携带它的宝可梦无法自由使出招式时，仅会回复１次。
41,强制锻炼器,きょうせいギプス,Macho Brace,又硬又重的锻炼器。虽然携带后速度会降低，但会比平时更容易茁壮成长。
42,安抚之铃,やすらぎのすず,Soothe Bell,音色悦耳的铃铛。携带它的宝可梦会受到安抚，变得容易和训练家亲密。
43,讲究头带,こだわりハチマキ,Choice Band,有点讲究的头带。虽然携带后攻击会提高，但只能使出相同的招式。
44,心之水滴,こころのしずく,Soul Dew,让拉帝欧斯或拉帝亚斯携带后，超能力和龙属性的招式威力就会提高的神奇珠子。
45,深海之牙,しんかいのキバ,Deep Sea Tooth,让珍珠贝携带后，特攻就会提高的牙齿。散发着闪亮的银光。
46,深海鳞片,しんかいのウロコ,Deep Sea Scale,让珍珠贝携带后，特防就会提高的鳞片。散发着淡淡的粉红色光芒。
47,丝绸围巾,シルクのスカーフ,Silk Scarf,手感不错的围巾。携带后，一般属性的招式威力就会提高。
48,贝壳之铃,かいがらのすず,Shell Bell,当携带它的宝可梦攻击对手并造成伤害时，能回复少量ＨＰ。
49,海潮薰香,うしおのおこう,Sea Incense,有着神奇香气的薰香。携带后，水属性的招式威力就会提高。
50,悠闲薰香,のんきのおこう,Lax Incense,携带后，薰香的神奇香气会迷惑对手，其招式会变得不容易命中。
51,红色头巾,あかいバンダナ,Red Scarf,携带它去参加华丽大赛的宝可梦会比平时看上去更加帅气。
52,蓝色头巾,あおいバンダナ,Blue Scarf,携带它去参加华丽大赛的宝可梦会比平时看上去更加美丽。
53,粉红头巾,ピンクのバンダナ,Pink Scarf,携带它去参加华丽大赛的宝可梦会比平时看上去更加可爱。
54,绿色头巾,みどりのバンダナ,Green Scarf,携带它去参加华丽大赛的宝可梦会比平时看上去更加聪明。
55,黄色头巾,きいろのバンダナ,Yellow Scarf,携带它去参加华丽大赛的宝可梦会比平时看上去更加强壮。
56,火球石板,ひのたまプレート,Flame Plate,火属性的石板。携带后，火属性的招式威力就会增强。
57,水滴石板,しずくプレート,Splash Plate,水属性的石板。携带后，水属性的招式威力就会增强。
58,雷电石板,いかずちプレート,Zap Plate,电属性的石板。携带后，电属性的招式威力就会增强。
59,碧绿石板,みどりのプレート,Meadow Plate,草属性的石板。携带后，草属性的招式威力就会增强。
60,冰柱石板,つららのプレート,Icicle Plate,冰属性的石板。携带后，冰属性的招式威力就会增强。
61,拳头石板,こぶしのプレート,Fist Plate,格斗属性的石板。携带后，格斗属性的招式威力就会增强。
62,剧毒石板,もうどくプレート,Toxic Plate,毒属性的石板。携带后，毒属性的招式威力就会增强。
63,大地石板,だいちのプレート,Earth Plate,地面属性的石板。携带后，地面属性的招式威力就会增强。
64,蓝天石板,あおぞらプレート,Sky Plate,飞行属性的石板。携带后，飞行属性的招式威力就会增强。
65,神奇石板,ふしぎのプレート,Mind Plate,超能力属性的石板。携带后，超能力属性的招式威力就会增强。
66,玉虫石板,たまむしプレート,Insect Plate,虫属性的石板。携带后，虫属性的招式威力就会增强。
67,岩石石板,がんせきプレート,Stone Plate,岩石属性的石板。携带后，岩石属性的招式威力就会增强。
68,妖怪石板,もののけプレート,Spooky Plate,幽灵属性的石板。携带后，幽灵属性的招式威力就会增强。
69,龙之石板,りゅうのプレート,Draco Plate,龙属性的石板。携带后，龙属性的招式威力就会增强。
70,恶颜石板,こわもてプレート,Dread Plate,恶属性的石板。携带后，恶属性的招式威力就会增强。
71,钢铁石板,こうてつプレート,Iron Plate,钢属性的石板。携带后，钢属性的招式威力就会增强。
72,浑圆之石,まんまるいし,Oval Stone,能让某些特定宝可梦进化的神奇石头。像珠子一般圆润。
73,楔石,かなめいし,Odd Keystone,没有它，石之塔就会崩塌的重要石头。有时能从石头里听到声音。
74,金刚宝珠,こんごうだま,Adamant Orb,让帝牙卢卡携带的话，龙和钢属性的招式威力就会提高。散发着光辉的宝珠。
75,白玉宝珠,しらたま,Lustrous Orb,让帕路奇亚携带的话，龙和水属性的招式威力就会提高。散发着美丽光辉的宝珠。
76,白金宝珠,はっきんだま,Griseous Orb,让骑拉帝纳携带的话，龙和幽灵属性的招式威力就会提高。散发着光辉的宝珠。
77,奇异薰香,あやしいおこう,Odd Incense,有着神奇香气的薰香。携带后，超能力属性的招式威力就会提高。
78,岩石薰香,がんせきおこう,Rock Incense,有着神奇香气的薰香。携带后，岩石属性的招式威力就会提高。
79,饱腹薰香,まんぷくおこう,Full Incense,有着神奇香气的薰香。携带后，宝可梦的行动会比平时更加迟缓。
80,涟漪薰香,さざなみのおこう,Wave Incense,有着神奇香气的薰香。携带后，水属性的招式威力就会提高。
81,花朵薰香,おはなのおこう,Rose Incense,有着神奇香气的薰香。携带后，草属性的招式威力就会提高。
82,幸运薰香,こううんのおこう,Luck Incense,只要携带它的宝可梦在战斗时出场一次，就能获得２倍金钱。
83,洁净薰香,きよめのおこう,Pure Incense,让排在最前面的宝可梦携带后，野生宝可梦就会不容易出现。
84,护具,プロテクター,Protector,某种护具。非常坚硬而且沉重。某种宝可梦很喜欢它。
85,电力增幅器,エレキブースター,Electirizer,积蓄着庞大电气能量的箱子。某种宝可梦很喜欢它。
86,熔岩增幅器,マグマブースター,Magmarizer,积蓄着庞大熔岩能量的箱子。某种宝可梦很喜欢它。
87,可疑补丁,あやしいパッチ,Dubious Disc,内部储存了奇怪信息的透明机器。制造者不明。
88,灵界之布,れいかいのぬの,Reaper Cloth,蕴含着惊人强大灵力的布。某种宝可梦很喜欢它。
89,锐利之爪,するどいツメ,Razor Claw,尖锐的爪子。携带后，招式会变得容易击中要害。
90,锐利之牙,するどいキバ,Razor Fang,尖锐的牙齿。携带后，在给予伤害时，有时会让对手畏缩。
91,广角镜,こうかくレンズ,Wide Lens,能放大观看物体的镜片。携带后，招式的命中率就会少量提高。
92,力量头带,ちからのハチマキ,Muscle Band,力如泉涌的头带。携带后，物理招式的威力就会少量提高。
93,博识眼镜,ものしりメガネ,Wise Glasses,装着很厚镜片的眼镜。携带后，特殊招式的威力就会少量提高。
94,达人带,たつじんのおび,Expert Belt,用惯了的黑色带子。携带后，效果绝佳时的招式威力就会少量提高。
95,光之黏土,ひかりのねんど,Light Clay,当携带它的宝可梦使出光墙或反射壁时，效果会比平时持续得更长。
96,生命宝珠,いのちのたま,Life Orb,携带后，虽然每次攻击时ＨＰ少量减少，但招式的威力会提高。
97,强力香草,パワフルハーブ,Power Herb,携带它的宝可梦仅有１次机会可以在第１回合使出需要蓄力的招式。
98,剧毒宝珠,どくどくだま,Toxic Orb,触碰后会放出毒的神奇宝珠。携带后，在战斗时会变成剧毒状态。
99,火焰宝珠,かえんだま,Flame Orb,触碰后会放出热量的神奇宝珠。携带后，在战斗时会变成灼伤状态。
100,速度粉,スピードパウダー,Quick Powder,让百变怪携带后，速度就会提高的神奇粉末。非常细腻坚硬。
101,气势披带,きあいのタスキ,Focus Sash,携带后，在ＨＰ全满时，即便受到可能会导致濒死的招式，也能仅以１ＨＰ撑过去１次。
102,对焦镜,フォーカスレンズ,Zoom Lens,当携带它的宝可梦比对手行动迟缓时，招式会变得容易命中。
103,节拍器,メトロノーム,Metronome,携带后，连续使出相同招式时，威力就会提高。不再使出相同招式时，威力就会复原。
104,黑色铁球,くろいてっきゅう,Iron Ball,携带后，速度会降低。飞行属性以及飘浮宝可梦会被地面招式击中。
105,后攻之尾,こうこうのしっぽ,Lagging Tail,非常沉重的某种尾巴。携带后，行动会比平时更加迟缓。
